sku,productType,canonicalGroupId,imageStatus,requestedImageStatus,mainImageAssetId,dataStatus,hasProductLink,productLink,titleEn,material,gsmOrThickness,applications
"KH-SF-COSBL-350-AS-039","paper-pad","paper-pad-300g-450g-uv","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Cosmetic Box Semi-finished Sheet","白卡 / 黑卡 / 特种纸","300g-450g","盒片、内托、垫片"
"KH-SF-SHAPEBL-350-MC-040","corrugated-fluted-paper","corrugated-fluted-paper-pe-coating","representative","representative","kh-corrugated-family-representative","pending-source","false","","Custom Shape Box Blank","白卡 / 特种纸 / 瓦楞纸","按结构确认","异形盒、展示盒"
"KH-BX-WHITEBOX-350-PR-041","white-cardboard","white-cardboard-300g-450g","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","White Cardboard Packaging Box","白卡纸","300g-450g","彩盒、纸套、展示盒"
"KH-BX-KRAFTBOX-300-PR-042","kraft-paper","kraft-paper-250g-400g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Kraft Paper Box","牛皮纸 / 牛卡纸","250g-400g","环保纸盒、礼品盒"
"KH-BX-CORBOX-E-CR-043","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-flute-pe-coating","representative","representative","kh-corrugated-family-representative","pending-source","false","","Corrugated Paper Box","瓦楞纸 / 裱瓦楞纸","E/F/G flute","坑盒、缓冲盒"
"KH-BX-COLORCOR-E-DC-044","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-flute","representative","representative","kh-corrugated-family-representative","pending-source","false","","Colored Corrugated Box","彩色瓦楞纸","E/F/G flute","彩色坑盒、展示盒"
"KH-BX-COSBOX-350-AS-045","white-cardboard","white-cardboard-300g-450g-uv","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Cosmetic Packaging Box","白卡 / 黑卡 / 特种纸","300g-450g","护肤品盒、彩盒、礼盒"
"KH-BX-ELECBOX-E-MT-046","corrugated-fluted-paper","corrugated-fluted-paper","representative","representative","kh-corrugated-family-representative","pending-source","false","","Electronics Packaging Box","白卡 / 瓦楞纸 / 特种纸","按结构确认","耳机、配件、小家电"
"KH-BX-FOODBOX-320-PE-047","food-packaging-box","food-packaging-box-250g-400g-pe-coating","representative","representative","kh-food-box-family-representative","pending-source","false","","Food Packaging Box","食品白卡 / 牛皮纸","250g-400g","食品盒、纸托、纸套"
"KH-BX-GIFTBOX-400-FG-048","corrugated-fluted-paper","corrugated-fluted-paper","representative","representative","kh-corrugated-family-representative","pending-source","false","","Gift Packaging Box","白卡 / 特种纸 / 裱瓦楞纸","按结构确认","礼盒、套装盒"
"KH-BX-FOLDBOX-350-CR-049","white-cardboard","white-cardboard-250g-450g","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Folding Carton","白卡 / 牛皮纸","250g-450g","彩盒、纸套、展示盒"
"KH-BX-ONEPIECE-350-MC-050","corrugated-fluted-paper","corrugated-fluted-paper-pe-coating","representative","representative","kh-corrugated-family-representative","pending-source","false","","One-piece Paper Box","白卡 / 牛皮纸 / 瓦楞纸","按结构确认","一体式包装盒"
"KH-FD-CUPFAN-150350-PR-001","paper-cup-fan","paper-cup-fan-product-eco-friendly-cup-logo-custom-flexography-printed-paper-cup-fan-for-hot-coffee-paper-cup-with-sleeves-and-lid","representative","representative","kh-cupfan-family-representative","complete","true","https://www.shirongpaper.com/product-eco-friendly-cup-logo-custom-flexography-printed-paper-cup-fan-for-hot-coffee-paper-cup-with-sleeves-and-lid","Paper Cup Fan","食品级白卡纸 / 杯纸 + PE 淋膜","150-350gsm","热饮杯、咖啡杯、纸碗、饮料杯"
"KH-FD-CUPFAN-150350-PR-002","paper-cup-fan","paper-cup-fan-product-eco-friendly-cup-logo-custom-flexography-printed-single-wall-pe-coated-paper-cup-fan-for-hot-coffee-paper-cup","representative","representative","kh-cupfan-family-representative","complete","true","https://www.shirongpaper.com/product-eco-friendly-cup-logo-custom-flexography-printed-single-wall-pe-coated-paper-cup-fan-for-hot-coffee-paper-cup","Paper Cup Fan","食品级白卡纸 / 杯纸 + PE 淋膜","150-350gsm","热饮杯、咖啡杯、纸碗、饮料杯"
